,loss,IOU,val_loss,val_IOU
0,1.1312675476074219,0.006213013548403978,1.093110203742981,0.008817651309072971
1,1.1164551973342896,0.007774193771183491,1.1382321119308472,0.002854160265997052
2,1.1153836250305176,0.007292862515896559,1.1069539785385132,0.003942572977393866
3,1.1121543645858765,0.008445489220321178,1.099963665008545,0.009246665053069592
4,1.1096479892730713,0.009642834775149822,1.092278003692627,0.010634028352797031
5,1.109707236289978,0.009746391326189041,1.0931425094604492,0.009624943137168884
6,1.1076488494873047,0.01007361151278019,1.0931482315063477,0.010776235722005367
7,1.107481598854065,0.009418550878763199,1.0875285863876343,0.012590840458869934
8,1.1060372591018677,0.009636898525059223,1.0908753871917725,0.01161704957485199
9,1.1070749759674072,0.00973825715482235,1.0946285724639893,0.010999326594173908
10,1.106170654296875,0.010233839973807335,1.0962039232254028,0.009056438691914082
11,1.1037206649780273,0.011020338162779808,1.0936832427978516,0.0108160600066185
12,1.1032795906066895,0.00950346328318119,1.0876680612564087,0.014299451373517513
13,1.10178542137146,0.011332583613693714,1.0921695232391357,0.011902092024683952
14,1.1012271642684937,0.010427679866552353,1.0988247394561768,0.011330895125865936
15,1.099284052848816,0.01078864373266697,1.114829421043396,0.01156638003885746
16,1.0993421077728271,0.010841409675776958,1.1188933849334717,0.011075942777097225
17,1.0982928276062012,0.011426913551986217,1.1034148931503296,0.009761238470673561
18,1.0974602699279785,0.01071042288094759,1.1071830987930298,0.006918218918144703
19,1.096096158027649,0.012173356488347054,1.0938432216644287,0.012204896658658981
20,1.095800757408142,0.011462957598268986,1.0898412466049194,0.01228257454931736
21,1.0952056646347046,0.011463223025202751,1.0872972011566162,0.01581418327987194
22,1.0944362878799438,0.012287517078220844,1.0956108570098877,0.01439681090414524
23,1.0937023162841797,0.011934504844248295,1.0908048152923584,0.016793029382824898
24,1.0935676097869873,0.012110269628465176,1.0968647003173828,0.013062282465398312
25,1.0925813913345337,0.012707805261015892,1.1109710931777954,0.012998279184103012
26,1.0934687852859497,0.012573154643177986,1.095793604850769,0.01193451602011919
27,1.0923725366592407,0.01273508369922638,1.102351427078247,0.010736302472651005
28,1.0917876958847046,0.012434893287718296,1.113349437713623,0.011879944242537022
29,1.091568946838379,0.012884332798421383,1.0927703380584717,0.010731568560004234
